topaz	"ID,"	WEPP	"ID,"	area	(cells)
4282	1016	280			
4283	1017	241			
4281	1018	112			
4293	1019	37			
4292	1020	31			
4291	1021	187			
4302	1022	348			
4303	1023	265			
4301	1024	118			
4311	1025	111			
4313	1026	58			
4312	1027	188			
4323	1028	94			
4322	1029	11			
4332	1030	34			
4333	1031	5			
4331	1032	111			
4343	1033	28			
4341	1034	117			
4342	1035	34			
4353	1036	62			
4352	1037	59			
4351	1038	112			
4362	1039	74			
4363	1040	30			
4361	1041	120			
4373	1042	36			
4372	1043	1			
4371	1044	128			
4391	1045	130			
4402	1046	87			
4403	1047	79			
4412	1048	123			
4413	1049	101			
4411	1050	134			
4423	1051	363			
4422	1052	149			
4421	1053	148			
4433	1054	157			
4432	1055	197			
4431	1056	113			
4443	1057	67			
4442	1058	62			
4441	1059	128			
4453	1060	91			
4452	1061	50			
4451	1062	112			
4463	1063	1			
4462	1064	32			
4472	1065	145			
4473	1066	34			
4471	1067	114			
4483	1068	175			
4482	1069	36			
4481	1070	117			
4493	1071	1			
4492	1072	9			
4491	1073	111			
4502	1074	11			
4503	1075	20			
4512	1076	20			
4513	1077	30			
4511	1078	114			
4532	1079	10			
4533	1080	9			
4531	1081	175			
4543	1082	60			
4542	1083	136			
4541	1084	165			
4553	1085	172			
4552	1086	175			
4551	1087	143			
4563	1088	26			
4562	1089	63			
4561	1090	112			
4572	1091	47			
4573	1092	32			
4582	1093	20			
4583	1094	5			
4581	1095	113			
4593	1096	30			
4592	1097	26			
4591	1098	154			
4602	1099	36			
4603	1100	34			
4601	1101	114			
4613	1102	186			
4612	1103	186			
4611	1104	111			
4621	1105	136			
4623	1106	7			
4622	1107	24			
4633	1108	3			
4632	1109	8			
4631	1110	114			
4642	1111	31			
4643	1112	14			
4641	1113	111			
4652	1114	251			
4653	1115	66			
4651	1116	111			
4662	1117	27			
4663	1118	43			
4661	1119	115			
4673	1120	30			
4672	1121	14			
4682	1122	43			
4683	1123	90			
4692	1124	124			
4693	1125	46			
4702	1126	9			
4703	1127	3			
4712	1128	66			
4713	1129	20			
4711	1130	112			
4723	1131	23			
4722	1132	25			
4721	1133	127			
4733	1134	29			
4732	1135	94			
4731	1136	139			
4743	1137	17			
4742	1138	27			
4741	1139	118			
4752	1140	2			
4763	1141	32			
4762	1142	68			
4773	1143	61			
4772	1144	31			
4771	1145	130			
4783	1146	164			
4782	1147	73			
4781	1148	113			
4793	1149	102			
4792	1150	31			
4791	1151	112			
4803	1152	98			
4802	1153	269			
4801	1154	118			
4813	1155	85			
4812	1156	65			
4811	1157	112			
4823	1158	50			
4822	1159	16			
4821	1160	114			
4832	1161	62			
4833	1162	122			
4843	1163	71			
4842	1164	189			
4852	1165	110			
4853	1166	9			
4851	1167	113			
4863	1168	62			
4862	1169	45			
4861	1170	138			
4873	1171	18			
4872	1172	14			
4882	1173	1			
4893	1174	135			
4892	1175	94			
4891	1176	113			
4903	1177	301			
4902	1178	265			
4901	1179	129			
4913	1180	163			
4911	1181	129			
4912	1182	54			
4921	1183	191			
4923	1184	17			
4922	1185	45			
4933	1186	38			
4932	1187	42			
4943	1188	236			
4942	1189	334			
4941	1190	118			
4953	1191	176			
4952	1192	109			
4951	1193	124			
4963	1194	33			
4962	1195	8			
4961	1196	114			
4973	1197	13			
4972	1198	15			
4983	1199	101			
4982	1200	213			
4993	1201	500			
4992	1202	344			
4991	1203	130			
5003	1204	266			
5002	1205	276			
5012	1206	19			
5013	1207	28			
5011	1208	165			
5023	1209	123			
5022	1210	38			
5021	1211	121			
5031	1212	113			
5033	1213	3			
5043	1214	53			
5041	1215	112			
5042	1216	43			
