Topaz_ID	 WEPP_ID	 OFEs	 Area_cells	Soil_File	Management_File	Slope_file
443	100	9	155	soil/2651360_9.sl	man/ww_barley_fallow_Int_Precip_mt_9.man	slope/H100.slp
452	101	11	84	soil/2651360_11.sl	man/ww_barley_fallow_Int_Precip_mt_11.man	slope/H101.slp
453	102	1	11	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H102.slp
462	103	8	103	soil/2651360_8.sl	man/ww_barley_fallow_Int_Precip_mt_8.man	slope/H103.slp
463	104	10	119	soil/2651360_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H104.slp
472	105	16	155	soil/2651360_16.sl	man/ww_barley_fallow_Int_Precip_mt_16.man	slope/H105.slp
473	106	1	5	soil/2651360_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H106.slp
481	107	15	116	soil/2651360_15.sl	man/ww_barley_fallow_Int_Precip_mt_15.man	slope/H107.slp
482	108	2	24	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H108.slp
483	109	1	8	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H109.slp
492	110	1	19	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H110.slp
493	111	1	20	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H111.slp
501	112	13	116	soil/68563_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H112.slp
502	113	4	120	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H113.slp
503	114	1	63	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H114.slp
511	115	10	113	soil/68563_10.sl	man/ww_barley_fallow_Int_Precip_mt_10.man	slope/H115.slp
512	116	3	199	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H116.slp
513	117	4	233	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H117.slp
522	118	1	19	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H118.slp
523	119	3	31	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H119.slp
532	120	3	25	soil/68563_3.sl	man/ww_barley_fallow_Int_Precip_mt_3.man	slope/H120.slp
533	121	4	33	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H121.slp
542	122	2	22	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H122.slp
543	123	6	55	soil/68563_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H123.slp
552	124	4	112	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H124.slp
553	125	2	62	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H125.slp
561	126	12	116	soil/68563_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H126.slp
562	127	4	145	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H127.slp
563	128	2	94	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H128.slp
571	129	12	118	soil/68563_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H129.slp
572	130	2	55	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H130.slp
573	131	4	113	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H131.slp
582	132	6	48	soil/68563_6.sl	man/ww_barley_fallow_Int_Precip_mt_6.man	slope/H132.slp
583	133	1	8	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H133.slp
591	134	14	127	soil/68563_14.sl	man/ww_barley_fallow_Int_Precip_mt_14.man	slope/H134.slp
592	135	1	57	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H135.slp
593	136	1	54	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H136.slp
602	137	8	142	soil/68563_8.sl	man/ww_barley_fallow_Int_Precip_mt_8.man	slope/H137.slp
603	138	2	42	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H138.slp
611	139	13	119	soil/68563_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H139.slp
612	140	2	53	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H140.slp
613	141	1	42	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H141.slp
623	142	1	1	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H142.slp
622	143	1	6	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H143.slp
632	144	13	86	soil/68563_13.sl	man/ww_barley_fallow_Int_Precip_mt_13.man	slope/H144.slp
633	145	1	5	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H145.slp
642	146	1	6	soil/68563_1.sl	man/ww_barley_fallow_Int_Precip_mt_1.man	slope/H146.slp
643	147	5	28	soil/68563_5.sl	man/ww_barley_fallow_Int_Precip_mt_5.man	slope/H147.slp
652	148	2	113	soil/68563_2.sl	man/ww_barley_fallow_Int_Precip_mt_2.man	slope/H148.slp
653	149	4	179	soil/68563_4.sl	man/ww_barley_fallow_Int_Precip_mt_4.man	slope/H149.slp
661	150	12	121	soil/68563_12.sl	man/ww_barley_fallow_Int_Precip_mt_12.man	slope/H150.slp
